classcode,scientificname ,shape,missingdimension,formulaformissingdimension,hd,formulaforbiovolume,formulaforsurface,formulaforweight1,formulaforweight2,missingdimensionsimplified,formulaformissingdimensionsimplified,formulaforbiovolumesimplified,formulaforsurfacesimplified,measurementremarks,mostlk
451,Ostreopsis ,ellipsoid,see note,see note,,(pi/6)*b*c*h,(pi/4)*(b+c)*(((b+c)/2)+(((2*(h^2))/((sqrt(4*h^2-((b+c)^2)))))*asin((sqrt(4*h^2-((b+c)^2)))/(2*h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*length^3,(pi*(length^2)),frontal,y
470,Podolampas palmipes,cone,no,no,,(pi/12)*h*(d^2),(pi/4)*d*(d+(sqrt(4*h^2+d^2))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/12)*length*(width^2),(pi/4)*width*(width+(sqrt(4*length^2+width^2))),frontal,y
471,Podolampas palmipes,cone,no,no,,(pi/12)*h*(d^2),(pi/4)*d*(d+(sqrt(4*h^2+d^2))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/12)*length*(width^2),(pi/4)*width*(width+(sqrt(4*length^2+width^2))),Lateral,n
472,Podolampas bipes,cone,no,no,,(pi/12)*h*(d^2),(pi/4)*d*(d+(sqrt(4*h^2+d^2))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/12)*length*(width^2),(pi/4)*width*(width+(sqrt(4*length^2+width^2))),frontal,y
473,Podolampas bipes,cone,no,no,,(pi/12)*h*(d^2),(pi/4)*d*(d+(sqrt(4*h^2+d^2))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/12)*length*(width^2),(pi/4)*width*(width+(sqrt(4*length^2+width^2))),Lateral,n
474,Podolampas,cone,no,no,,(pi/12)*h*(d^2),(pi/4)*d*(d+(sqrt(4*h^2+d^2))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/12)*length*(width^2),(pi/4)*width*(width+(sqrt(4*length^2+width^2))),frontal,y
481,Heterocapsa,double cone,no,no,,(pi/12)*h*d^2,(pi/2)*d*(sqrt(h^2+d^2)),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/12)*length*width^2,(pi/2)*width*(sqrt(length^2+width^2)),frontal,y
484,Heterocapsa rotundata,double cone,no,no,,(pi/12)*h*d^2,(pi/2)*d*(sqrt(h^2+d^2)),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/12)*length*width^2,(pi/2)*width*(sqrt(length^2+width^2)),frontal,y
490,Phalacroma,ellipsoid,c,hd*h,0.250436228,(pi/6)*b*c*h,(pi/4)*(b+c)*(((b+c)/2)+(((2*(h^2))/((sqrt(4*h^2-((b+c)^2)))))*asin((sqrt(4*h^2-((b+c)^2)))/(2*h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,c,hd*length,(pi/6)*width*c*length,(pi/4)*(width+c)*(((width+c)/2)+(((2*(length^2))/((sqrt(4*length^2-((width+c)^2)))))*asin((sqrt(4*length^2-((width+c)^2)))/(2*length)))),frontal,y
504,Scrippsiella,ellipsoid,c,hd*h,0.922222222,(pi/6)*b*c*h,(pi/4)*(b+c)*(((b+c)/2)+(((2*(h^2))/((sqrt(4*h^2-((b+c)^2)))))*asin((sqrt(4*h^2-((b+c)^2)))/(2*h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,c,hd*length,(pi/6)*width*c*length,(pi/4)*(width+c)*(((width+c)/2)+(((2*(length^2))/((sqrt(4*length^2-((width+c)^2)))))*asin((sqrt(4*length^2-((width+c)^2)))/(2*length)))),frontal,y
505,Dinophyceae,prolate spheroid,no,no,,(pi/6)*(d^2)*h,((pi/2)*d)*(d+(((h^2)/(sqrt((h^2)-(d^2))))*(asin((sqrt((h^2)-(d^2)))/h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*(width^2)*length,((pi/2)*width)*(width+(((length^2)/(sqrt((length^2)-(width^2))))*(asin((sqrt((length^2)-(width^2)))/length)))),lessthan20,y
509,Oblea,sphere,no,no,,(pi/6)*d^3,(pi*(d^2)),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*length^3,(pi*(length^2)),frontal,y
510,Dinophysis,ellipsoid,c,hd*h,0.450810624,(pi/6)*b*c*h,(pi/4)*(b+c)*(((b+c)/2)+(((2*(h^2))/((sqrt(4*h^2-((b+c)^2)))))*asin((sqrt(4*h^2-((b+c)^2)))/(2*h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,c,hd*length,(pi/6)*width*c*length,(pi/4)*(width+c)*(((width+c)/2)+(((2*(length^2))/((sqrt(4*length^2-((width+c)^2)))))*asin((sqrt(4*length^2-((width+c)^2)))/(2*length)))),frontal,y
511,Dinophysis acuta,ellipsoid,c,hd*h,0.5,(pi/6)*b*c*h,(pi/4)*(b+c)*(((b+c)/2)+(((2*(h^2))/((sqrt(4*h^2-((b+c)^2)))))*asin((sqrt(4*h^2-((b+c)^2)))/(2*h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,c,hd*length,(pi/6)*width*c*length,(pi/4)*(width+c)*(((width+c)/2)+(((2*(length^2))/((sqrt(4*length^2-((width+c)^2)))))*asin((sqrt(4*length^2-((width+c)^2)))/(2*length)))),frontal,y
512,Dinophysis caudata,ellipsoid+cone,c,hd*(h1+h),0.450810624,((pi/6)*(b*c*h))+((pi/12)*(d1^2)*h1),(pi/4)*(b+c)*(((b+c)/2)+(((2*(h^2))/((sqrt(4*h^2-((b+c)^2)))))*asin((sqrt(4*h^2-((b+c)^2)))/(2*h))))-((pi/4)*d1^2)+((pi/4)*d1*(sqrt(d1^2+4*h1^2))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),frontal,y
513,Dinophysis fortii,ellipsoid,c,hd*h,0.450810624,(pi/6)*b*c*h,(pi/4)*(b+c)*(((b+c)/2)+(((2*(h^2))/((sqrt(4*h^2-((b+c)^2)))))*asin((sqrt(4*h^2-((b+c)^2)))/(2*h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,c,hd*length,(pi/6)*width*c*length,(pi/4)*(width+c)*(((width+c)/2)+(((2*(length^2))/((sqrt(4*length^2-((width+c)^2)))))*asin((sqrt(4*length^2-((width+c)^2)))/(2*length)))),frontal,y
514,Dinophysis ovata,ellipsoid,c,hd*h,0.450810624,(pi/6)*b*c*h,(pi/4)*(b+c)*(((b+c)/2)+(((2*(h^2))/((sqrt(4*h^2-((b+c)^2)))))*asin((sqrt(4*h^2-((b+c)^2)))/(2*h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,c,hd*length,(pi/6)*width*c*length,(pi/4)*(width+c)*(((width+c)/2)+(((2*(length^2))/((sqrt(4*length^2-((width+c)^2)))))*asin((sqrt(4*length^2-((width+c)^2)))/(2*length)))),frontal,y
515,Dinophysis ovum,ellipsoid,c,hd*h,0.450810624,(pi/6)*b*c*h,(pi/4)*(b+c)*(((b+c)/2)+(((2*(h^2))/((sqrt(4*h^2-((b+c)^2)))))*asin((sqrt(4*h^2-((b+c)^2)))/(2*h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,c,hd*length,(pi/6)*width*c*length,(pi/4)*(width+c)*(((width+c)/2)+(((2*(length^2))/((sqrt(4*length^2-((width+c)^2)))))*asin((sqrt(4*length^2-((width+c)^2)))/(2*length)))),frontal,y
516,Phalacroma rotundatum,ellipsoid,c,hd*h,0.450810624,(pi/6)*b*c*h,(pi/4)*(b+c)*(((b+c)/2)+(((2*(h^2))/((sqrt(4*h^2-((b+c)^2)))))*asin((sqrt(4*h^2-((b+c)^2)))/(2*h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,c,hd*length,(pi/6)*width*c*length,(pi/4)*(width+c)*(((width+c)/2)+(((2*(length^2))/((sqrt(4*length^2-((width+c)^2)))))*asin((sqrt(4*length^2-((width+c)^2)))/(2*length)))),frontal,y
517,Dinophysis tripos,ellipsoid+2 cone,c,"hd*(h+max(c(h1,h2)))",0.450810624,((pi/6)*(b*c*h))+((pi/12)*(d1^2)*h1)+((pi/12)*(d2^2)*h2),(pi/4)*(b+c)*(((b+c)/2)+(((2*(h^2))/((sqrt(4*h^2-((b+c)^2)))))*asin((sqrt(4*h^2-((b+c)^2)))/(2*h))))+((pi/4)*d1*((sqrt(d1^2+4*h1^2))-d1))+((pi/4)*d2*((sqrt(d2^2+4*h2^2))-d2)),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),frontal,y
518,Dinophysis acuminata,ellipsoid,c,hd*h,0.5,(pi/6)*b*c*h,(pi/4)*(b+c)*(((b+c)/2)+(((2*(h^2))/((sqrt(4*h^2-((b+c)^2)))))*asin((sqrt(4*h^2-((b+c)^2)))/(2*h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,c,hd*length,(pi/6)*width*c*length,(pi/4)*(width+c)*(((width+c)/2)+(((2*(length^2))/((sqrt(4*length^2-((width+c)^2)))))*asin((sqrt(4*length^2-((width+c)^2)))/(2*length)))),frontal,y
519,Dinophysis saccula,ellipsoid,c,hd*h,0.450810624,(pi/6)*b*c*h,(pi/4)*(b+c)*(((b+c)/2)+(((2*(h^2))/((sqrt(4*h^2-((b+c)^2)))))*asin((sqrt(4*h^2-((b+c)^2)))/(2*h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,c,hd*length,(pi/6)*width*c*length,(pi/4)*(width+c)*(((width+c)/2)+(((2*(length^2))/((sqrt(4*length^2-((width+c)^2)))))*asin((sqrt(4*length^2-((width+c)^2)))/(2*length)))),frontal,y
520,Oxytoxum,prolate spheroid,no,no,,(pi/6)*(d^2)*h,((pi/2)*d)*(d+(((h^2)/(sqrt((h^2)-(d^2))))*(asin((sqrt((h^2)-(d^2)))/h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*(width^2)*length,((pi/2)*width)*(width+(((length^2)/(sqrt((length^2)-(width^2))))*(asin((sqrt((length^2)-(width^2)))/length)))),frontal,y
521,Oxytoxum longum,prolate spheroid,no,no,,(pi/6)*(d^2)*h,((pi/2)*d)*(d+(((h^2)/(sqrt((h^2)-(d^2))))*(asin((sqrt((h^2)-(d^2)))/h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*(width^2)*length,((pi/2)*width)*(width+(((length^2)/(sqrt((length^2)-(width^2))))*(asin((sqrt((length^2)-(width^2)))/length)))),frontal,y
522,Oxytoxum milneri,prolate spheroid,no,no,,(pi/6)*(d^2)*h,((pi/2)*d)*(d+(((h^2)/(sqrt((h^2)-(d^2))))*(asin((sqrt((h^2)-(d^2)))/h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*(width^2)*length,((pi/2)*width)*(width+(((length^2)/(sqrt((length^2)-(width^2))))*(asin((sqrt((length^2)-(width^2)))/length)))),frontal,y
523,Oxytoxum minutum,prolate spheroid,no,no,,(pi/6)*(d^2)*h,((pi/2)*d)*(d+(((h^2)/(sqrt((h^2)-(d^2))))*(asin((sqrt((h^2)-(d^2)))/h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*(width^2)*length,((pi/2)*width)*(width+(((length^2)/(sqrt((length^2)-(width^2))))*(asin((sqrt((length^2)-(width^2)))/length)))),frontal,y
524,Oxytoxum scolopax,prolate spheroid,no,no,,(pi/6)*(d^2)*h,((pi/2)*d)*(d+(((h^2)/(sqrt((h^2)-(d^2))))*(asin((sqrt((h^2)-(d^2)))/h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*(width^2)*length,((pi/2)*width)*(width+(((length^2)/(sqrt((length^2)-(width^2))))*(asin((sqrt((length^2)-(width^2)))/length)))),frontal,y
525,Oxytoxum sphaeroideum,prolate spheroid,no,no,,(pi/6)*(d^2)*h,((pi/2)*d)*(d+(((h^2)/(sqrt((h^2)-(d^2))))*(asin((sqrt((h^2)-(d^2)))/h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*(width^2)*length,((pi/2)*width)*(width+(((length^2)/(sqrt((length^2)-(width^2))))*(asin((sqrt((length^2)-(width^2)))/length)))),frontal,y
526,Oxytoxum viride,prolate spheroid,no,no,,(pi/6)*(d^2)*h,((pi/2)*d)*(d+(((h^2)/(sqrt((h^2)-(d^2))))*(asin((sqrt((h^2)-(d^2)))/h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*(width^2)*length,((pi/2)*width)*(width+(((length^2)/(sqrt((length^2)-(width^2))))*(asin((sqrt((length^2)-(width^2)))/length)))),frontal,y
527,Oxytoxum caudatum,prolate spheroid,no,no,,(pi/6)*(d^2)*h,((pi/2)*d)*(d+(((h^2)/(sqrt((h^2)-(d^2))))*(asin((sqrt((h^2)-(d^2)))/h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*(width^2)*length,((pi/2)*width)*(width+(((length^2)/(sqrt((length^2)-(width^2))))*(asin((sqrt((length^2)-(width^2)))/length)))),frontal,y
528,Oxytoxum spinosum,prolate spheroid,no,no,,(pi/6)*(d^2)*h,((pi/2)*d)*(d+(((h^2)/(sqrt((h^2)-(d^2))))*(asin((sqrt((h^2)-(d^2)))/h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*(width^2)*length,((pi/2)*width)*(width+(((length^2)/(sqrt((length^2)-(width^2))))*(asin((sqrt((length^2)-(width^2)))/length)))),frontal,y
530,Protoperidinium bipes,double cone,no,no,,(pi/12)*h*d^2,(pi/2)*d*(sqrt(h^2+d^2)),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/12)*length*width^2,(pi/2)*width*(sqrt(length^2+width^2)),frontal,y
531,Protoperidinium depressum,double cone,no,no,,(pi/12)*h*d^2,(pi/2)*d*(sqrt(h^2+d^2)),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/12)*length*width^2,(pi/2)*width*(sqrt(length^2+width^2)),frontal,y
532,Protoperidinium divergens,half ellipsoid+3 cones,see note,see note,,((pi/12)*b*c*h)+((pi/12)*h1*(d1^2))+((pi/12)*h2*(d2^2))+((pi/12)*h3*(d3^2)),(1/2*((pi/4)*(b+c)*(((b+c)/2)+(((2*(h^2))/((sqrt(4*h^2-((b+c)^2)))))*asin((sqrt(4*h^2-((b+c)^2)))/(2*h))))))+((pi/4)*d1*(sqrt((d1^2)+4*h1^2))-d1)+((pi/4)*d2*(sqrt((d2^2)+4*h2^2))-d2)+((pi/4)*d3*(sqrt((d3^2)+4*h3^2))-d3),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*length^3,(pi*(length^2)),frontal,y
533,Protoperidinium granii,double cone,no,no,,(pi/12)*h*d^2,(pi/2)*d*(sqrt(h^2+d^2)),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/12)*length*width^2,(pi/2)*width*(sqrt(length^2+width^2)),frontal,y
534,Protoperidinium longipes,double cone,no,no,,(pi/12)*h*d^2,(pi/2)*d*(sqrt(h^2+d^2)),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/12)*length*width^2,(pi/2)*width*(sqrt(length^2+width^2)),frontal,y
535,Protoperidinium mediterraneum,double cone,no,no,,(pi/12)*h*d^2,(pi/2)*d*(sqrt(h^2+d^2)),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/12)*length*width^2,(pi/2)*width*(sqrt(length^2+width^2)),frontal,y
536,Protoperidinium ovum,double cone,no,no,,(pi/12)*h*d^2,(pi/2)*d*(sqrt(h^2+d^2)),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/12)*length*width^2,(pi/2)*width*(sqrt(length^2+width^2)),frontal,y
538,Protoperidinium steinii,double cone,no,no,,(pi/12)*h*d^2,(pi/2)*d*(sqrt(h^2+d^2)),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/12)*length*width^2,(pi/2)*width*(sqrt(length^2+width^2)),frontal,y
539,Protoperidinium conicum,double cone,no,no,,(pi/12)*h*d^2,(pi/2)*d*(sqrt(h^2+d^2)),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/12)*length*width^2,(pi/2)*width*(sqrt(length^2+width^2)),frontal,y
540,Triposfusus,double cone,no,no,,(pi/12)*h*d^2,(pi/2)*d*(sqrt(h^2+d^2)),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/12)*length*width^2,(pi/2)*width*(sqrt(length^2+width^2)),frontal,y
541,Ceratium,ellipsoid+2cones+cylinder,no,no,,((pi/4)*h1*(d1^2))+((pi/12)*(h2+h3)*(d1^2))+((pi/6)*h*b*d1),((pi/4)*(b+d1))*(((b+d1)/2)+(((h^2/(sqrt((h^2)-(((b+d1)/2)^2)))))*asin((sqrt((h^2)-(((b+d1)/2)^2)))/h))+(((pi/2)*d1)*(((2*h1+(sqrt((h3^2)+(d1^2/4)))+(sqrt((h2^2)+(d1^2/4)))-d1))))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),frontal,y
543,Ceratium teres,ellipsoid+2cones+cylinder,no,no,,((pi/4)*h1*(d1^2))+((pi/12)*(h2+h3)*(d1^2))+((pi/6)*h*b*d1),((pi/4)*(b+d1))*(((b+d1)/2)+(((h^2/(sqrt((h^2)-(((b+d1)/2)^2)))))*asin((sqrt((h^2)-(((b+d1)/2)^2)))/h))+(((pi/2)*d1)*(((2*h1+(sqrt((h3^2)+(d1^2/4)))+(sqrt((h2^2)+(d1^2/4)))-d1))))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),frontal,y
544,Ceratium dens,ellipsoid+2cones+cylinder,no,no,,((pi/4)*h1*(d1^2))+((pi/12)*(h2+h3)*(d1^2))+((pi/6)*h*b*d1),((pi/4)*(b+d1))*(((b+d1)/2)+(((h^2/(sqrt((h^2)-(((b+d1)/2)^2)))))*asin((sqrt((h^2)-(((b+d1)/2)^2)))/h))+(((pi/2)*d1)*(((2*h1+(sqrt((h3^2)+(d1^2/4)))+(sqrt((h2^2)+(d1^2/4)))-d1))))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),frontal,y
545,Ceratium setaceum,ellipsoid+2cones+cylinder,no,no,,((pi/4)*h1*(d1^2))+((pi/12)*(h2+h3)*(d1^2))+((pi/6)*h*b*d1),((pi/4)*(b+d1))*(((b+d1)/2)+(((h^2/(sqrt((h^2)-(((b+d1)/2)^2)))))*asin((sqrt((h^2)-(((b+d1)/2)^2)))/h))+(((pi/2)*d1)*(((2*h1+(sqrt((h3^2)+(d1^2/4)))+(sqrt((h2^2)+(d1^2/4)))-d1))))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),frontal,y
547,Peridinium,ellipsoid,c,hd*h,0.433333333,(pi/6)*b*c*h,(pi/4)*(b+c)*(((b+c)/2)+(((2*(h^2))/((sqrt(4*h^2-((b+c)^2)))))*asin((sqrt(4*h^2-((b+c)^2)))/(2*h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,c,hd*length,(pi/6)*width*c*length,(pi/4)*(width+c)*(((width+c)/2)+(((2*(length^2))/((sqrt(4*length^2-((width+c)^2)))))*asin((sqrt(4*length^2-((width+c)^2)))/(2*length)))),frontal,y
549,Protoperidinium elegans,cylinder+3cones,no,no,,((pi/4)*h1*(d1^2))+((pi/12)*h2*(d2^2))+((pi/12)*h3*(d3^2))+((pi/12)*h4*(d4^2)),(pi*d1*h1)*(pi/4*d4*(sqrt(d4^2+4*(h4^2))+d4))-(pi/4*d2^2)-(pi/4*d3^2)+(pi/4*d2*(sqrt(d2^2+4*(h2^2))))+(pi/4*d3*(sqrt(d3^2+4*(h3^2)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),frontal,y
550,Protoperidinium breve,double cone,no,no,,(pi/12)*h*d^2,(pi/2)*d*(sqrt(h^2+d^2)),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/12)*length*width^2,(pi/2)*width*(sqrt(length^2+width^2)),frontal,y
551,Protoperidinium oceanicum,half ellipsoid+3 cones,see note,see note,,((pi/12)*b*c*h)+((pi/12)*h1*(d1^2))+((pi/12)*h2*(d2^2))+((pi/12)*h3*(d3^2)),(1/2*((pi/4)*(b+c)*(((b+c)/2)+(((2*(h^2))/((sqrt(4*h^2-((b+c)^2)))))*asin((sqrt(4*h^2-((b+c)^2)))/(2*h))))))+((pi/4)*d1*(sqrt((d1^2)+4*h1^2))-d1)+((pi/4)*d2*(sqrt((d2^2)+4*h2^2))-d2)+((pi/4)*d3*(sqrt((d3^2)+4*h3^2))-d3),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*length^3,(pi*(length^2)),frontal,y
552,Mesoporos,prism on elliptic base,see note,see note,,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),unique,y
555,Protoperidinium pallidum,half ellipsoid+cone on elliptic base,see note,see note,,((pi/12)*b*c)*(h1+h),NA,0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*length^3,(pi*(length^2)),frontal,y
558,Ceratium vultur,ellipsoid+2cones+cylinder,no,no,,((pi/4)*h1*(d1^2))+((pi/12)*(h2+h3)*(d1^2))+((pi/6)*h*b*d1),((pi/4)*(b+d1))*(((b+d1)/2)+(((h^2/(sqrt((h^2)-(((b+d1)/2)^2)))))*asin((sqrt((h^2)-(((b+d1)/2)^2)))/h))+(((pi/2)*d1)*(((2*h1+(sqrt((h3^2)+(d1^2/4)))+(sqrt((h2^2)+(d1^2/4)))-d1))))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),frontal,y
560,Prorocentrum triestinum,cone+half sphere,no,no,,(pi/4)*h*d^2,(pi/2)*d*(d+(sqrt(((2*h^2)-(h*d)+(d^2))/2))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/4)*length*width^2,(pi/2)*width*(width+(sqrt(((2*length^2)-(length*width)+(width^2))/2))),frontal,y
561,Prorocentrum compressum,ellipsoid,c,hd*h,0.348333333,(pi/6)*b*c*h,(pi/4)*(b+c)*(((b+c)/2)+(((2*(h^2))/((sqrt(4*h^2-((b+c)^2)))))*asin((sqrt(4*h^2-((b+c)^2)))/(2*h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,c,hd*length,(pi/6)*width*c*length,(pi/4)*(width+c)*(((width+c)/2)+(((2*(length^2))/((sqrt(4*length^2-((width+c)^2)))))*asin((sqrt(4*length^2-((width+c)^2)))/(2*length)))),frontal,y
562,Prorocentrum rathymum,ellipsoid,c,hd*h,0.348333333,(pi/6)*b*c*h,(pi/4)*(b+c)*(((b+c)/2)+(((2*(h^2))/((sqrt(4*h^2-((b+c)^2)))))*asin((sqrt(4*h^2-((b+c)^2)))/(2*h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,c,hd*length,(pi/6)*width*c*length,(pi/4)*(width+c)*(((width+c)/2)+(((2*(length^2))/((sqrt(4*length^2-((width+c)^2)))))*asin((sqrt(4*length^2-((width+c)^2)))/(2*length)))),frontal,y
567,Peridinium quinquecorne,double cone,no,no,,(pi/12)*h*d^2,(pi/2)*d*(sqrt(h^2+d^2)),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/12)*length*width^2,(pi/2)*width*(sqrt(length^2+width^2)),frontal,y
570,Preperidinium ,ellipsoid,c,hd*h,0.425189394,(pi/6)*b*c*h,(pi/4)*(b+c)*(((b+c)/2)+(((2*(h^2))/((sqrt(4*h^2-((b+c)^2)))))*asin((sqrt(4*h^2-((b+c)^2)))/(2*h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,c,hd*length,(pi/6)*width*c*length,(pi/4)*(width+c)*(((width+c)/2)+(((2*(length^2))/((sqrt(4*length^2-((width+c)^2)))))*asin((sqrt(4*length^2-((width+c)^2)))/(2*length)))),frontal,y
571,Preperidinium meunieri,ellipsoid,c,hd*h,0.425189394,(pi/6)*b*c*h,(pi/4)*(b+c)*(((b+c)/2)+(((2*(h^2))/((sqrt(4*h^2-((b+c)^2)))))*asin((sqrt(4*h^2-((b+c)^2)))/(2*h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,c,hd*length,(pi/6)*width*c*length,(pi/4)*(width+c)*(((width+c)/2)+(((2*(length^2))/((sqrt(4*length^2-((width+c)^2)))))*asin((sqrt(4*length^2-((width+c)^2)))/(2*length)))),frontal,y
572,Ceratocorys horrida,half sphere,no,no,,(pi/12)*d^3,((3/4)*pi*(d^2)),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/12)*length^3,((3/4)*pi*(length^2)),unique,y
573,Ceratium breve,ellipsoid+2cones+cylinder,no,no,,((pi/4)*h1*(d1^2))+((pi/12)*(h2+h3)*(d1^2))+((pi/6)*h*b*d1),((pi/4)*(b+d1))*(((b+d1)/2)+(((h^2/(sqrt((h^2)-(((b+d1)/2)^2)))))*asin((sqrt((h^2)-(((b+d1)/2)^2)))/h))+(((pi/2)*d1)*(((2*h1+(sqrt((h3^2)+(d1^2/4)))+(sqrt((h2^2)+(d1^2/4)))-d1))))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),frontal,y
574,Ceratium declinatum,cylinder+3cones,no,no,,((pi/4)*h1*(d1^2))+((pi/12)*h2*(d2^2))+((pi/12)*h3*(d3^2))+((pi/12)*h4*(d4^2)),(pi*d1*h1)*(pi/4*d4*(sqrt(d4^2+4*(h4^2))+d4))-(pi/4*d2^2)-(pi/4*d3^2)+(pi/4*d2*(sqrt(d2^2+4*(h2^2))))+(pi/4*d3*(sqrt(d3^2+4*(h3^2)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),frontal,y
575,Tripos furca,ellipsoid+2cones+cylinder,no,no,,((pi/4)*h1*(d1^2))+((pi/12)*(h2+h3)*(d1^2))+((pi/6)*h*b*d1),((pi/4)*(b+d1))*(((b+d1)/2)+(((h^2/(sqrt((h^2)-(((b+d1)/2)^2)))))*asin((sqrt((h^2)-(((b+d1)/2)^2)))/h))+(((pi/2)*d1)*(((2*h1+(sqrt((h3^2)+(d1^2/4)))+(sqrt((h2^2)+(d1^2/4)))-d1))))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),frontal,y
576,Ceratium tripos,cylinder+3cones,no,no,,((pi/4)*h1*(d1^2))+((pi/12)*h2*(d2^2))+((pi/12)*h3*(d3^2))+((pi/12)*h4*(d4^2)),(pi*d1*h1)*(pi/4*d4*(sqrt(d4^2+4*(h4^2))+d4))-(pi/4*d2^2)-(pi/4*d3^2)+(pi/4*d2*(sqrt(d2^2+4*(h2^2))))+(pi/4*d3*(sqrt(d3^2+4*(h3^2)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),frontal,y
